"seen_total","question_6_pre","question_2_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","engagement","survey_type","quiz_answer","engagement_1","engagement_3","engagement_2","question_2_post","question_3_post","question_5_post","question_6_post","question_1_post","question_4_post","demo_gender","demo_age","demo_asked","demo_school","demo_media","last.seen"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:09:51"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:08:52"
5,"1","1","1","3","","3",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:08:45"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:07:30"
1,"","","","","","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:06:30"
2,"","","4","","","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:05:40"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 16:03:52"
5,"2","5","4","5","","2",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:57:15"
6,"1","7","1","1","1","7",0,"days","Americans have to use basic common sense and logic not to get tricked. But common sense isn't common anymore. Why?","","","","","","","","","","","",NA,"","","2021-05-10 15:56:05"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:55:50"
6,"1","1","1","3","1","2",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 15:55:27"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:55:10"
4,"5","5","4","5","5","7",0,"days","","","","","","4","6","","4","5","","",NA,"","","2021-05-10 15:54:54"
0,"","2","","2","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:50:52"
6,"7","5","7","1","7","1",0,"days","","","","","","","","","","","","",NA,"","","2021-05-10 15:49:30"
6,"7","3","7","7","2","7",0,"continuous","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX__Oaf-&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=f44a8155c9a0e39105641d941b833c63&oe=60BE8049","","","","","","","","","","","",NA,"","","2021-05-10 15:47:31"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:45:22"
3,"","4","4","","","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:44:46"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:44:30"
5,"","1","1","5","1","4",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:44:11"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:41:06"
0,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:40:53"
5,"6","1","","2","2","2",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:40:39"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:39:34"
NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:35:43"
4,"1","","","1","2","1",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:34:46"
2,"","","","7","7","",NA,"","","","","","","","","","","","","",NA,"","","2021-05-10 15:34:13"
6,"1","1","1","7","1","1",1,"days","","","","","","","","","","","","",NA,"","","2021-05-10 15:32:25"
0,"4","4","5","1","4","3",1,"continuous","A","Yes","Yes","Yes","","","","","","","","",NA,"","","2021-05-10 15:32:04"
