"seen_total","last.seen","survey_type","engagement","engagement_1","engagement_2","engagement_3","quiz_answer","demo_gender","demo_age","demo_asked","demo_school","demo_media","question_2_pre","question_6_pre","question_4_pre","question_1_pre","question_3_pre","question_5_pre","question_2_post","question_3_post","question_6_post","question_5_post","question_1_post","question_4_post","finished_post"
6,"2021-05-11 16:31:48","continuous",1,"Yes","Yes","","","","",NA,"","","1","1","1","1","7","2","","","","","","",FALSE
0,"2021-05-11 16:31:18","continuous",1,"Yes","Yes","Yes","A","","",NA,"","","1","1","6","7","6","1","","","","","","",FALSE
NA,"2021-05-11 16:30:34","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
5,"2021-05-11 16:29:54","",NA,"","","","","","",NA,"","","5","7","5","","7","4","","","","","","",FALSE
0,"2021-05-11 16:28:24","",NA,"","","","","","",NA,"","","7","7","7","7","","7","","","","","","",FALSE
6,"2021-05-11 16:26:19","continuous",0,"","","","","","",NA,"","","1","2","3","2","2","2","","","","","","",FALSE
0,"2021-05-11 16:24:48","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
1,"2021-05-11 16:23:10","",NA,"","","","","","",NA,"","","","","","","1","","","","","","","",FALSE
0,"2021-05-11 16:23:02","continuous",1,"No","Yes","No","A","","",NA,"","","1","2","3","3","2","2","","","","","","",FALSE
0,"2021-05-11 16:21:35","",NA,"","","","","","",NA,"","","","https://scontent.xx.fbcdn.net/v/t39.1997-6/cp0/39178562_1505197616293642_5411344281094848512_n.png?_nc_cat=1&ccb=1-3&_nc_sid=ac3552&_nc_ohc=vrct4UXrHO0AX8TapWA&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&tp=30&oh=ae5339f2bc2a9f0631d61e6f3908b664&oe=60BE8049","","","","","","","","","","",FALSE
0,"2021-05-11 16:17:49","",NA,"","","","","","",NA,"","","","","","","","","","","","","","",FALSE
6,"2021-05-11 16:17:33","continuous",1,"Yes","No","","","","",NA,"","","1","4","1","1","5","2","","","","","","",FALSE
6,"2021-05-11 16:17:28","continuous",1,"Yes","Yes","","","","",NA,"","","1","7","1","7","1","4","","","","","","",FALSE
