seen_total,last seen,survey_type,engagement,engagement_1,engagement_2,engagement_3,quiz_answer,demo_gender,demo_age,demo_asked,demo_school,demo_media,question_2_pre,question_6_pre,question_4_pre,question_1_pre,question_3_pre,question_5_pre,question_2_post,question_3_post,question_6_post,question_5_post,question_1_post,question_4_post
1,2021-05-11 15:31:41,,,,,,,,,,,,1,6,6,6,1,4,,,,,,
6,2021-05-11 15:30:11,continuous,0,,,,,,,,,,4,3,1,1,6,3,,,,,,
6,2021-05-11 15:28:34,continuous,1,Yes,,,,,,,,,1,1,1,1,1,1,,,,,,
6,2021-05-11 15:28:25,continuous,0,,,,,,,,,,2,1,5,1,5,1,,,,,,
4,2021-05-11 15:25:26,,,,,,,,,,,,7,7,6,5,,,,,,,,
6,2021-05-11 15:24:04,continuous,0,,,,,,,,,,6,6,6,6,7,6,,,,,,
6,2021-05-11 15:23:44,continuous,0,,,,,,,,,,5,7,2,7,3,5,,,,,,
0,2021-05-11 15:20:43,continuous,1,Yes,Yes,Yes,A,,,,,,6,6,4,1,6,1,,,,,,
3,2021-05-11 15:20:02,,,,,,,,,,,,,6,,5,5,,,,,,,
0,2021-05-11 15:19:32,,,,,,,,,,,,,,6,7,5,4,,,,,,
6,2021-05-11 15:18:51,continuous,1,Yes,No,,,,,,,,1,2,2,5,1,1,,,,,,
0,2021-05-11 15:18:39,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 15:17:00,days,0,,,,A,,,,,,7,6,7,1,7,7,,,,,,
0,2021-05-11 15:14:51,,,,,,,,,,,,,,,,,,,,,,,
6,2021-05-11 15:12:23,continuous,0,,,,,,,,,,1,1,1,4,2,4,,,,,,
